Source,Target
703278880287793152,45700893
4484012356,45700893
137903102,45700893
3426211756,45700893
3010879055,45700893
288589847,45700893
2845360503,45700893
2787600359,45700893
164034062,45700893
339788328,45700893
1705078921,45700893
2953954649,3091640394
719342648008556547,3091640394
718577901180825601,3091640394
709820067500990464,3091640394
714968457914089472,3091640394
1887305634,3091640394
712145458609528832,3091640394
1669638614,3091640394
706401332173762560,3091640394
3424825995,3091640394
4745446580,3091640394
3301006676,3091640394
2724671587,3091640394
4628259807,3091640394
2918071453,2844597717
106676386,12278232
14639769,12278232
14216951,12278232
4061601,12278232
197962366,12278232
712991477610233857,12278232
705415065156100096,12278232
29336037,12278232
3434599881,12278232
185898176,12278232
273603872,12278232
2709980197,12278232
1039074571,76368893
229105964,76368893
4377929835,76368893
459144323,76368893
261345994,76368893
2879796860,76368893
4870692928,76368893
2787926097,149649271
3312125409,149649271
717985405262376961,149649271
143342537,149649271
1169269554,149649271
348297187,149649271
4821168158,149649271
706308161372868608,149649271
314738307,149649271
703389232254087168,3220634417
3964945519,3220634417
16824146,3220634417
4891279341,3220634417
4044985317,3220634417
560530638,3220634417
715929917553291264,1517006851
711437523,1517006851
2959115332,1517006851
2965078193,1517006851
485227574,1517006851
2887217607,1517006851
1387554980,1517006851
778541443,1517006851
1072582638,1517006851
1188106080,45700893
424711422,180961172
3385068466,180961172
4810958499,180961172
2686562168,180961172
3099998286,180961172
1660771422,180961172
2602413667,180961172
81305054,180961172
128044290,180961172
1097852275,180961172
835911265,180961172
210856057,180961172
4658235494,180961172
56730256,449481632
179962803,449481632
5548212,237879538
2270780718,237879538
718650373871775744,237879538
713192293495218177,237879538
1712791735,237879538
4881087923,237879538
4839677103,237879538
2463072921,237879538
4859857900,237879538
234479129,237879538
19008415,237879538
4482245776,237879538
2332523660,237879538
995937846,16932983
354852107,16932983
83433816,16932983
28365844,16932983
36728690,16932983
38119990,16932983
15572516,16932983
36246086,16932983
9663842,16932983
14573703,16932983
376702501,154833315
3169095405,154833315
3115094291,154833315
2383750502,154833315
2410850418,154833315
408048235,154833315
233033353,154833315
272414795,154833315
1728309278,154833315
1694128326,154833315
32166701,154833315
315929557,154833315
272622934,154833315
340904631,154833315
262552617,27097950
2942827145,27097950
4827530330,27097950
4441720821,27097950
2352913188,27097950
4272881174,27097950
536914720,27097950
1209458335,27097950
1549396387,1203857112
286649628,1203857112
174953869,1203857112
12956412,1203857112
6670372,1203857112
721277601277456384,1203857112
4828135368,1203857112
721057719969447936,1203857112
3285665672,1203857112
720581880916144129,1203857112
702550737117646848,1203857112
31199120,3033441051
75387859,3033441051
702924698175336448,3033441051
721237192312377345,3033441051
471177978,3033441051
74581377,3033441051
148053378,3033441051
922736588,26427503
124207682,26427503
91876753,26427503
16431070,26427503
719100793245286400,25068152
2994951136,25068152
185635130,25068152
862430010,25068152
3494008336,25068152
2186623778,25068152
27062536,25068152
267251038,178078255
1864228866,178078255
704341181199740928,178078255
4045249696,178078255
220777800,178078255
3412653280,178078255
2699988401,178078255
376726179,178078255
1558978308,178078255
3297650979,178078255
3395773277,178078255
4833325403,178078255
1000420435,178078255
715874863869628417,1228653996
145363327,1228653996
712911100082257920,1228653996
713365386582831104,1228653996
713052199069220866,1228653996
3288884041,1228653996
4096502479,1228653996
4795723970,1228653996
703941772100005889,1228653996
1647280789,756083
3094770253,756083
4784669081,756083
1649949764,756083
1644403849,756083
34967191,756083
388388380,756083
4489842494,756083
4851054418,756083
137044871,756083
40902493,756083
712288732750209025,20036695
3014632103,20036695
2330730434,20036695
1645757142,20036695
2422041445,20036695
699868700942336000,20036695
4829937934,20036695
3310901311,20036695
183747754,20036695
2235180378,20036695
3110325040,20036695
220123737,20036695
4842773675,1956441
2994633075,1956441
3417289288,1956441
4926127219,1956441
3032287538,1956441
2537574258,1956441
1244181950,1956441
260846062,1956441
720819300278407168,1956441
14538310,1956441
148808656,1956441
3389305107,1956441
604822104,1956441
136512142,1956441
115121785,34255720
3254446865,34255720
18460854,34255720
709467746728333312,34255720
379453091,34255720
4619158405,34255720
4874537110,34255720
3018996526,34255720
81713857,34255720
64778587,34255720
3160532462,34255720
156638668,34255720
288211795,34255720
1390876166,2906251075
136512142,2906251075
2817144043,2906251075
881327113,2906251075
4882442278,2906251075
717264761629581312,2906251075
485475676,2906251075
82365968,2906251075
711979884160094208,2906251075
339402311,2906251075
82041461,3008442800
135174356,29592425
64334065,29592425
1530571,29592425
53618829,29592425
16409683,29592425
709466255393042432,17530043
21547975,17530043
338964347,17530043
1701674413,17530043
8004392,17530043
924273828,17530043
156118895,17530043
7461152,17530043
2796126247,17530043
2420885094,17530043
22908286,17530043
720394843965534208,146879425
711656015561760768,146879425
715285658554798080,146879425
219828179,146879425
219067214,146879425
1327902139,146879425
59699957,146879425
199397344,146879425
334331683,146879425
3648465134,146879425
36003633,319282164
8239822,319282164
183544304,319282164
21303286,319282164
34222874,319282164
804619944,319282164
1549164792,319282164
18994782,319282164
608261970,319282164
86071272,319282164
2263319191,319282164
142459663,319282164
2937810751,110416052
74860972,110416052
52547811,110416052
2458231830,110416052
41150691,110416052
2306366245,110416052
14054514,110416052
14125950,110416052
16639213,110416052
102470540,110416052
455236564,110416052
450918112,110416052
305373133,110416052
4745787922,56547554
4247434493,56547554
4136847508,56547554
4039963858,56547554
3893671997,56547554
3343017861,56547554
21978390,282573144
1202788861,282573144
2464688567,282573144
2381627161,282573144
32217999,282573144
281310068,282573144
261447343,282573144
15492744,282573144
714426806963712000,103154946
2670620028,103154946
351659643,103154946
287020072,103154946
1326612008,103154946
2776038096,103154946
89384405,103154946
102985327,103154946
716421569128497152,103154946
1876046498,1960338744
1549114748,1960338744
824502074,1960338744
4298959109,1960338744
3420855939,1960338744
4067865743,1960338744
2364107898,1960338744
227678669,1960338744
3102518734,1960338744
3422690806,1960338744
3411618011,1960338744
3407621067,1960338744
286791505,1960338744
3383110479,1960338744
468957900,3299170104
705561837606014976,3299170104
705424177080225792,3299170104
705218955095511041,3299170104
3190133041,3299170104
501058248,3299170104
4448974092,3299170104
4847366175,3299170104
2272625738,3299170104
4486448907,3299170104
721456070300803072,28043219
33014441,28043219
462958140,28043219
3310764399,28043219
341200881,28043219
716903913094574082,28043219
712003637451460608,28043219
2205744924,28043219
29291584,28043219
1959004736,28043219
705936782261669888,28043219
363654650,221533671
2365062820,221533671
2825337182,221533671
4911655829,221533671
4920098758,221533671
4377996795,221533671
477957597,221533671
325186039,221533671
1293483511,221533671
1011776641,221533671
3225945317,221533671
714327310237884417,221533671
